review,short_rev,count,attacked_review
"There are films that make careers. For George Romero, it was NIGHT OF THE LIVING DEAD; for Kevin Smith, CLERKS; for Robert Rodriguez, EL MARIACHI. Add to that list Onur Tukel's absolutely amazing DING-A-LING-LESS. Flawless film-making, and as assured and as professional as any of the aforementioned movies. I haven't laughed this hard since I saw THE FULL MONTY. (And, even then, I don't think I laughed quite this hard... So to speak.) Tukel's talent is considerable: DING-A-LING-LESS is so chock full of double entendres that one would have to sit down with a copy of this script and do a line-by-line examination of it to fully appreciate the, uh, breadth and width of it. Every shot is beautifully composed (a clear sign of a sure-handed director), and the performances all around are solid (there's none of the over-the-top scenery chewing one might've expected from a film like this). DING-A-LING-LESS is a film whose time has come.",there are films that make careers for george romero it was night of the living dead for kevin smith clerks for robert rodriguez el mariachi add to that list onur tukel absolutely amazing flawless and as assured and as professional as any of the aforementioned movies i have laughed this hard since i saw the full monty and even then i do think i laughed quite this hard so to speak tukel talent is considerable is so chock full of double entendres that one would have to sit down with a copy of this script and do a examination of,100,there are cinema that earn careers for George romero it was nighttime of the survive suddenly for kevin metalworker salesclerk for robert rodriguez altitude mariachi tot to that leaning onur tukel perfectly get unflawed and as assure and as pro as any of the aforesaid pic i have laughed this strong since i interpret the wide monty and tied then i do conceive i laughed rather this concentrated so to utter tukel gift is considerable is so wedge wax of look-alike entendres that ane would have to pose down with a imitate of this hand and do a interrogatory of
"A blackly comic tale of a down-trodden priest, Nazarin showcases the economy that Luis Bunuel was able to achieve in being able to tell a deeply humanist fable with a minimum of fuss. As an output from his Mexican era of film making, it was an invaluable talent to possess, with little money and extremely tight schedules. Nazarin, however, surpasses many of Bunuel's previous Mexican films in terms of the acting (Francisco Rabal is excellent), narrative and theme.<br /><br />The theme, interestingly, is something that was explored again in Viridiana, made three years later in Spain. It concerns the individual's struggle for humanity and altruism amongst a society that rejects any notion of virtue. Father Nazarin, however, is portrayed more sympathetically than Sister Viridiana. Whereas the latter seems to choose charity because she wishes to atone for her (perceived) sins, Nazarin's whole existence and reason for being seems to be to help others, whether they (or we) like it or not. The film's last scenes, in which he casts doubt on his behaviour and, in a split second, has to choose between the life he has been leading or the conventional life that is expected of a priest, are so emotional because they concern his moral integrity and we are never quite sure whether it remains intact or not.<br /><br />This is a remarkable film and I would urge anyone interested in classic cinema to seek it out. It is one of Bunuel's most moving films, and encapsulates many of his obsessions: frustrated desire, mad love, religious hypocrisy etc. In my view 'Nazarin' is second only to 'The Exterminating Angel', in terms of his Mexican movies, and is certainly near the top of the list of Bunuel's total filmic output.",a blackly comic tale of a priest nazarin showcases the economy that luis bunuel was able to achieve in being able to tell a deeply humanist fable with a minimum of fuss as an output from his mexican era of film making it was an invaluable talent to possess with little money and extremely tight schedules nazarin however surpasses many of bunuel previous mexican films in terms of the acting francisco rabal is excellent narrative and br br the theme interestingly is something that was explored again in viridiana made three years later in spain it concerns the individual struggle,100,a blackly laughable narrative of a priest nazarin vitrine the economy that luis bunuel was capable to reach in being able-bodied to recite a deeply human-centered fiction with a minimal of niggle as an yield from his mexican ERA of movie make it was an invaluable talent to possess with niggling money and extremely nasty schedules nazarin still outmatch many of bunuel premature Mexican shoot in terminus of the play francisco rabal is first-class narrative and BR bromine the idea interestingly is something that was explored again in viridiana name tercet eld recent in spain it worry the person conflict
"Scary Movie 1-4, Epic Movie, Date Movie, Meet the Spartans, Not another Teen Movie and Another Gay Movie. Making ""Superhero Movie"" the eleventh in a series that single handily ruined the parody genre. Now I'll admit it I have a soft spot for classics such as Airplane and The Naked Gun but you know you've milked a franchise so bad when you can see the gags a mile off. In fact the only thing that might really temp you into going to see this disaster is the incredibly funny but massive sell-out Leslie Neilson.<br /><br />You can tell he needs the money, wither that or he intends to go down with the ship like a good Capitan would. In no way is he bringing down this genre but hell he's not helping it. But if I feel sorry for anybody in this film its decent actor Drake Bell who is put through an immense amount of embarrassment. The people who are put through the largest amount of torture by far however is the audience forced to sit through 90 minutes of laughless bile no funnier than herpes.<br /><br />After spoofing disaster films in Airplane!, police shows in The Naked Gun, and Hollywood horrors in Scary Movie 3 and 4, producer David Zucker sets his satirical sights on the superhero genre with this anarchic comedy lampooning everything from Spider-Man to X-Men and Superman Returns.<br /><br />Shortly after being bitten by a genetically altered dragonfly, high-school outcast Rick Riker (Drake Bell) begins to experience a startling transformation. Now Rick's skin is as strong as steel, and he possesses the strength of ten men. Determined to use his newfound powers to fight crime, Rick creates a special costume and assumes the identity of The Dragonfly -- a fearless crime fighter dedicated to keeping the streets safe for law-abiding citizens.<br /><br />But every superhero needs a nemesis, and after Lou Landers (Christopher McDonald) is caught in the middle of an experiment gone horribly awry, he develops the power to leech the life force out of anyone he meets and becomes the villainous Hourglass. Intent on achieving immortality, the Hourglass attempts to gather as much life force as possible as the noble Dragonfly sets out to take down his archenemy and realize his destiny as a true hero. Craig Mazin writes and directs this low-flying spoof.<br /><br />featuring Tracy Morgan, Pamela Anderson, Leslie Nielsen, Marion Ross, Jeffrey Tambor, and Regina Hall.<br /><br />Hell Superhero Movie may earn some merit in the fact that it's a hell of a lot better than Meet the Spartans and Epic Movie. But with great responsibility comes one of the worst outings of 2008 to date. Laughless but a little less irritating than Meet the Spartans. And in the same sense much more forgettable than meet the Spartans. But maybe that's a good reason. There are still some of us trying to scrape away the stain that was Meet the Spartans from our memory.<br /><br />My final verdict? Avoid, unless you're one of thoses people who enjoy such car crash cinema. As bad as Date Movie and Scary Movie 2 but not quite as bad as Meet the Spartans or Epic Movie. Super Villain.",scary movie epic movie date movie meet the spartans not another teen movie and another gay movie making superhero movie the eleventh in a series that single handily ruined the parody genre now i admit it i have a soft spot for classics such as airplane and the naked gun but you know you milked a franchise so bad when you can see the gags a mile off in fact the only thing that might really temp you into going to see this disaster is the incredibly funny but massive leslie br br you can tell he needs the money,100,chilling picture epos movie date picture receive the spartans not another teenaged film and another festive picture constitute superhero picture the eleventh in a series that one handily ruined the charade genre now i hold it i have a diffused berth for classics such as plane and the naked hitman but you cognize you milked a dealership so unsound when you can witness the strangle a mile off in fact the only affair that might truly temp you into travel to assure this cataclysm is the improbably singular but monolithic leslie Br Br you can state he ask the money
"Poor Shirley MacLaine tries hard to lend some gravitas to this mawkish, gag-inducing ""feel-good"" movie, but she's trampled by the run-away sentimentality of a film that's not the least bit grounded in reality.<br /><br />This was directed by Curtis Hanson? Did he have a lobotomy since we last heard from him? Hanson can do effective drama sprinkled with comedy, as evidenced by ""Wonder Boys."" So I don't know what happened to him here. This is the kind of movie that doesn't want to accept that life is messy and fussy, and that neat, tidy endings (however implausible they might be) might make for a nice closing shot, but come across as utterly phony if the people watching the film have been through anything remotely like what the characters in the film go through.<br /><br />My wife and I made a game of calling out the plot points before they occurred -- e.g. ""the old man's going to teach her to read and then drop dead."" Bingo! This is one of those movies where the characters give little speeches summarizing their emotional problems, making you wonder why they still have emotional problems if they're that aware of what's causing them. Toni Collette (a fine actress, by the way, and one of my favorites if not given a lot to work with here), gives a speech early on about why she buys so many shoes and never wears them, spelling out in flashing neon the film's awkward connecting motif. At that moment, I knew what I was in for, and the film was a downward spiral from there.<br /><br />Grade: C-",poor shirley maclaine tries hard to lend some gravitas to this mawkish movie but she trampled by the sentimentality of a film that not the least bit grounded in br br this was directed by curtis hanson did he have a lobotomy since we last heard from him hanson can do effective drama sprinkled with comedy as evidenced by wonder boys so i do know what happened to him here this is the kind of movie that does want to accept that life is messy and fussy and that neat tidy endings however implausible they might be might make for,100,hapless shirley maclaine render grueling to bestow some gravitas to this schmalzy pic but she trampled by the mushiness of a celluloid that not the least flake undercoat in bromine Br this was channelise by curtis hanson did he have a lobotomy since we endure learn from him hanson can do effectual drama pitter-patter with drollery as tell by enquire son so i do cognise what find to him here this is the genial of movie that does desire to bear that spirit is messy and busy and that nifty kempt conclusion yet implausible they power be power have for
"As a former Erasmus student I enjoyed this film very much. It was so realistic and funny. It really picked up the spirit that exists among Erasmus students. I hope, many other students will follow this experience, too. However, I wonder if this movie is all that interesting to watch for people with no international experience. But at least one of my friends who has never gone on Erasmus also enjoyed it very much. I give it 9 out of 10.",as a former erasmus student i enjoyed this film very much it was so realistic and funny it really picked up the spirit that exists among erasmus students i hope many other students will follow this experience too however i wonder if this movie is all that interesting to watch for people with no international experience but at least one of my friends who has never gone on erasmus also enjoyed it very much i give it out of,79,as a erstwhile erasmus student i enjoy this flick very often it was so realistic and odd it rattling nibble up the purport that live among erasmus student i Hope many other educatee will accompany this receive too however i marvel if this flick is all that worry to catch for mass with no international experience but at least unitary of my champion who has ne'er run on erasmus besides revel it very lots i yield it out of
"My God, Ryan Gosling has made a lot of deep characters in his career, this is one of his wonderful acting jobs. For me this is a very deep movie, needs a lot of concentration, not because is difficult to watch, just because you understand it if you put your shoes in this kid, even though has everything and has famous father that is a writer, has a deeper mind, you don't understand why he kills this poor kid, until you really heard what he has to say and you start to think, at least to me, that a lot of things that he says is true. Simple kid, sweet, very gentle, in a way normal like any teenage, but inside of him suffer because he start to look at the world in a different way, then you understand why he did what he did. I recommend this movie for those who likes deep drama.",my god ryan gosling has made a lot of deep characters in his career this is one of his wonderful acting jobs for me this is a very deep movie needs a lot of concentration not because is difficult to watch just because you understand it if you put your shoes in this kid even though has everything and has famous father that is a writer has a deeper mind you do understand why he kills this poor kid until you really heard what he has to say and you start to think at least to me that a lot,100,my idol ryan gosling has work a caboodle of mystifying character in his career this is ace of his terrific do Job for me this is a very rich picture penury a raft of immersion not because is hard to scout just because you realize it if you invest your skid in this banter tied though has everything and has renowned sire that is a writer has a bass judgment you do infer why he down this short fry until you genuinely try what he has to tell and you depart to cerebrate at least to me that a pot
This film just won the best film award at the Cleveland International Film Festival. It's American title apparently is Autumn Spring. The acting is superb. The story takes you into the life of an elderly man who takes what life deals him and spikes it up a little bit. Abetted by his best friend (and partner in not-so-serious crime) he puts people on at every opportunity but still often reveals his heart of gold. His longsuffering wife has come to her wits end and makes a life-changing decision which is heartbreaking to watch. The resolution of the story is beautiful.,this film just won the best film award at the cleveland international film festival it american title apparently is autumn spring the acting is superb the story takes you into the life of an elderly man who takes what life deals him and spikes it up a little bit abetted by his best friend and partner in crime he puts people on at every opportunity but still often reveals his heart of gold his longsuffering wife has come to her wits end and makes a decision which is heartbreaking to watch the resolution of the story is beautiful,98,this cinema just won the good take accolade at the cleveland International shoot festival it american deed apparently is autumn give the play is superb the tarradiddle take you into the biography of an elderly man who learn what biography sight him and ear it up a small scrap abetted by his sound admirer and partner in offence he redact people on at every opportunity but hush often break his eye of gilded his longsuffering wife has occur to her wag terminate and get a conclusion which is heartrending to watch the firmness of the narrative is beautiful
"The cast for this production of Rigoletto is excellent. Edita Gruberova sings Gilda magnificently and passionately. Luciano Pavarotti also sings splendidly. Vergara is a fine Maddalena; Fedora Barbieri is a famous older singer who sings the maid, Giovanna. Weikl sings Marullo; Wixell sings both Rigoletto and Monterone. As Rigoletto, Wixell is probably the most convincing acting singer in this hard-to-beat ensemble of great singers. Kathleen Kuhlmann in the Contessa. All principals are well-known and world-renowned.<br /><br />This is an exciting Rigoletto visually as well as musically.<br /><br />I have it on both laser disc and DVD. You should have it too!",the cast for this production of rigoletto is excellent edita gruberova sings gilda magnificently and passionately luciano pavarotti also sings splendidly vergara is a fine maddalena fedora barbieri is a famous older singer who sings the maid giovanna weikl sings marullo wixell sings both rigoletto and monterone as rigoletto wixell is probably the most convincing acting singer in this ensemble of great singers kathleen kuhlmann in the contessa all principals are and br br this is an exciting rigoletto visually as well as br br i have it on both laser disc and dvd you should have it too,99,the draw for this product of rigoletto is fantabulous edita gruberova sing gilda resplendently and turbulently luciano Pavarotti too blab magnificently vergara is a amercement maddalena Stetson barbieri is a noted old vocalist who talk the housemaid giovanna weikl peach marullo wixell blab both rigoletto and monterone as rigoletto wixell is believably the most convince performing Singer in this ensemble of expectant vocalist kathleen kuhlmann in the contessa all dealer are and Br BR this is an commove rigoletto visually as advantageously as Br Br i have it on both laser disk and videodisk you should have it too
"As long as you keep in mind that the production of this movie was a copyright ploy, and not intended as a serious release, it is actually surprising how not absolutely horrible it is. I even liked the theme music.<br /><br />And if ever a flick cried out for a treatment by Joel (or Mike) and the MST3K Bots, this is it! Watch this with a bunch of smart-ass wise-crackers, and you're in for a good time. Have a brew, butter up some large pretzels, and enjoy.<br /><br />Of course, obtaining a copy requires buying a bootleg or downloading it as shareware, but if you're here on the IMDb, then you're most likely savvy enough to do so. Good luck.<br /><br />And look for my favorite part....where Dr. Doom informs the FF that they have 12 hours to comply with his wishes....and he actually gestures the number ""12"" with his finger while doing so....it's like ""Evil Sesame Street""....hoo boy.<br /><br />...and of course Mrs. Storm declaring ""Just look at you....the Fanstastic Four"" is just so heartwarming....you'll laugh, you'll cry.....<br /><br />So if you love schlocky Sci-Fi, this one's Fantastic For you!",as long as you keep in mind that the production of this movie was a copyright ploy and not intended as a serious release it is actually surprising how not absolutely horrible it is i even liked the theme br br and if ever a flick cried out for a treatment by joel or mike and the bots this is it watch this with a bunch of and you in for a good time have a brew butter up some large pretzels and br br of course obtaining a copy requires buying a bootleg or downloading it as shareware but,100,as recollective as you save in brain that the product of this flick was a copyright stratagem and not destine as a grave loss it is actually storm how not dead ugly it is i level care the paper bromine BR and if e'er a pic shout out for a handling by joel or microphone and the bots this is it ascertain this with a caboodle of and you in for a skilful meter have a brewage butter up some prominent pretzels and bromine br of row incur a transcript take purchase a black-market or downloading it as shareware but
"Every great once in a while, you stumble upon a movie that exceeds even your wildest expectations. Given the IMDb rating of 4.0, I wasn't really expecting much with The Brotherhood of Satan. I hoped that at a minimum it might be cheesy fun like The Devil's Rain or any of the other early 70s similarly themed Satanic horror films. I couldn't' have been more wrong. What I got instead was an ambitious and intelligent film with a cast I really enjoyed. Speaking in broad terms to avoid giving anything away, the film's style and structure are much more experimental than the straightforward storytelling so prominent in the early 70s. The Brotherhood of Satan doesn't beat you over the head with plot points and explanations. A lot is left to the viewer to fill in the blanks. As a viewer, you know something is amiss, but for the longest period you're just not sure what it is. The unknown helps make for a far creepier atmosphere than most similar films. The ending is effective with its surreal imagery. I sat in amazement as the final credits began to roll. Those wanting a big slam-bang finale will be disappointed with the ending's simplicity. A lesser film would have tried to pull out all the stops and would, most likely, have failed miserably.<br /><br />There are moments in the film where it's easy to forget the director, Bernard McEveety, had primarily worked in television before The Brotherhood of Satan. There are a few scenes that are so well set-up, lit, and shot that even the most accomplished of directors could learn a thing or two. For example, I've seen enough films over the years to realize that directors can sometimes seem to have trouble shooting widescreen shots indoors. Not here. The scene where the men are discussing their plan of action in the sheriff's office is amazing. We see all five men at once  each doing their own thing as in real life. In a lesser film, we might see all the men at once, but each would be motionless, quietly waiting their turn to deliver their dialogue. It's a small scene, but it looks so natural and is so beautifully shot that it's one of my favorite moments of The Brotherhood of Satan.<br /><br />Finally, I mentioned the acting in my opening, so without going into a long-winded speech, I'll just say that The Brotherhood of Satan features Strother Martin and L.Q. Jones. Any film with these two guys is almost an automatic winner with me.",every great once in a while you stumble upon a movie that exceeds even your wildest expectations given the imdb rating of i was really expecting much with the brotherhood of satan i hoped that at a minimum it might be cheesy fun like the devil rain or any of the other early similarly themed satanic horror films i could have been more wrong what i got instead was an ambitious and intelligent film with a cast i really enjoyed speaking in broad terms to avoid giving anything away the film style and structure are much more experimental than the,100,every heavy once in a while you trip upon a movie that surpass even your wildest outlook feed the imdb valuation of i was rattling expecting lots with the sodality of satan i hop that at a minimal it might be cheap sport alike the daemon rainfall or any of the other former similarly theme satanic horror films i could have been more wrong what i arrest alternatively was an challenging and level-headed take with a spue i genuinely revel verbalise in across-the-board price to forefend hold anything out the pic stylus and structure are practically more experimental than the
