review,short_rev,count,attacked_review
"I watched the movie with tears and smiles alternatively. Anger surged in me to see the ruin of Hanoi after the 12-day bombard. And by living in the country right now with my parents, who's been living in Saigon for 50 years, I understand that we're much better off now, and would have been better if the American didn't bring war here. Watching the movie, I learned more of the different kinds of wars that the America planned in Vietnam, and what disasters they caused.<br /><br />The series seems to do well with the interviews with the real people. But I don't like it that some people only give generic opinions, like the analyst near the end of the series, I forgot his name.<br /><br />There should also be more documentary images, like the life in the army camp of the South Vietnam, and those of the North (if possible). There's also a sudden change from the year of 1972 to 1975 (I'm not sure if the in-between was censored, because I watched this series on TV).",i watched the movie with tears and smiles alternatively anger surged in me to see the ruin of hanoi after the bombard and by living in the country right now with my parents who been living in saigon for years i understand that we much better off now and would have been better if the american did bring war here watching the movie i learned more of the different kinds of wars that the america planned in vietnam and what disasters they br br the series seems to do well with the interviews with the real people but i do,100,i see the flick with deplume and grin instead ira zoom in me to look the break of Hanoi after the pelt and by exist in the area veracious now with my nurture who been surviving in Saigon for days i read that we often ameliorate off now and would have been adept if the American did bestow warfare here learn the picture i con more of the dissimilar form of war that the US project in Annam and what cataclysm they BR bromine the serial look to do fountainhead with the audience with the really masses but i do
"I haven't actually seen a lot of movies with Holly Hunter, but seeing her in Broadcast News was a pleasant surprise. She is a hard-nosed journalist, Jane Craig, who has devoted all of her time to TV news show. Her colleague Aaron Altman has carried her torch for a long time without saying anything. The love triangle is completed by Tom Grunnick. He is the slightly aloof ex-sportscaster who is the new reporter. To Jane, he symbolizes everything she doesn't like about news reporting - turning it into edutainment, not serious business. Much to her surprise, Jane finds herself attracted to Tom.<br /><br />Holly Hunter is doing a great performance as the perky journalist. But I don't quite see what she finds so charming about her new colleague, Tom. It's something with them that prevents us from getting up close and personal with him. Almost as impressive is Albert Brooks, who gives his all in the role of a professional who gives more than 100 percent for his job but doesn't get quite as much in return. Actually, for a while I thought he was Steve Guttenberg from Police Academy (1984). He has a few funny lines and if this was a Meg Ryan-picture, they'd call it a romantic comedy.<br /><br />Running over two hours, a few scenes could have been edited or left out completely, eg. Jane's and Aaron's trip to Central America. Also, I'm a sucker for happy endings and had preferred a different ending than just a reunion between the three of them seven years later.",i have actually seen a lot of movies with holly hunter but seeing her in broadcast news was a pleasant surprise she is a journalist jane craig who has devoted all of her time to tv news show her colleague aaron altman has carried her torch for a long time without saying anything the love triangle is completed by tom grunnick he is the slightly aloof who is the new reporter to jane he symbolizes everything she does like about news reporting turning it into edutainment not serious business much to her surprise jane finds herself attracted to br br,100,i have really look a mass of flick with Holly Orion but ascertain her in circulate newsworthiness was a pleasant storm she is a diarist jane craig who has commit all of her sentence to telecasting tidings display her confrere Aaron altman has express her flashlight for a yearn metre without allege anything the jazz trilateral is finish by Tom grunnick he is the somewhat distant who is the unexampled newsman to jane he typify everything she does care about intelligence cover turn it into edutainment not sober clientele practically to her surprisal jane determine herself draw to BR bromine
"This is Classic Disney at its live action cartoon best! Bumbling college student Dexter Riley (Kurt Russell) develops a mysterious liquid invisibility formula that actually makes objects disappear and helps him to save his cash strapped college. Further experimentation reveals that it works amazingly well on humans too! Riley's startling discovery takes some hilarious new twists when a gang of crooks headed by the notorious A.J. Arno (Cesar Romero) steal the formula and attempt to use it for their less-than-legal activities. Dazzling special effects and a fast-paced story make this lively film a textbook case of college comedy! I love this movie! This movie has always filled me with a sense of wonder and joy.A pleasant little comedy that the entire family can enjoy. Not much violence or sex and absolutely no swearing, makes this a movie that parents can watch with their children.Merely one in a series of Kurt Russell movies set at Medvale College. A pleasant little series set in a wholesome America before terrorists, when people valued integrity more than cash! I highly recommend this movie!",this is classic disney at its live action cartoon best bumbling college student dexter riley kurt russell develops a mysterious liquid invisibility formula that actually makes objects disappear and helps him to save his cash strapped college further experimentation reveals that it works amazingly well on humans too riley startling discovery takes some hilarious new twists when a gang of crooks headed by the notorious arno cesar romero steal the formula and attempt to use it for their activities dazzling special effects and a story make this lively film a textbook case of college comedy i love this movie this,100,this is classic disney at its know execute cartoon unspoiled spoil college educatee dexter riley kurt Russell arise a mystifying swimming invisibility expression that really seduce target evaporate and supporter him to relieve his cash slash college further experimentation uncover that it work astonishingly wellspring on man too riley galvanise discovery conduct some hilarious fresh braid when a bunch of turn manoeuvre by the notorious Arno cesar romero steal the formula and try to utilise it for their action glaring peculiar event and a chronicle cause this snappy picture a casebook font of college drollery i lovemaking this film this
"Okay , so this wasnt what I was expecting. I rented this film just to see how it would be since I want to see the first one anyway. But , this film had B-movie all over it. But when I watched it I realized that it was very funny. For the first 30 minutes It was just how the snowman was kiiling people and one man losing his sanity. But , those first few minutes had some funny one liners in it. When He throws up the first of his little minions I knew this would be very very funny. They all act like the gremlins in the ninteen eighty four hit gremlins that it made it look like it was spoofing it and made me forget it was a B-movie. So if you like to laugh rent this one.",okay so this wasnt what i was expecting i rented this film just to see how it would be since i want to see the first one anyway but this film had all over it but when i watched it i realized that it was very funny for the first minutes it was just how the snowman was kiiling people and one man losing his sanity but those first few minutes had some funny one liners in it when he throws up the first of his little minions i knew this would be very very funny they all act like,100,fine so this wasnt what i was wait i lease this movie just to image how it would be since i wish to ascertain the initiatory ace anyways but this cinema had all over it but when i see it i realize that it was very suspicious for the initiatory arcminute it was just how the snowman was kiiling masses and I humankind mislay his saneness but those beginning few bit had some mirthful 1 lining in it when he give up the world-class of his trivial minion i live this would be very very laughable they all behave wish
"Iron Eagle may not be the most believable film plot-wise, but the characters are well written and very well acted. If you cannot believe the characters, the film is a flop.<br /><br />I believe the photography, especially the aerial photography is superb. I believe it is far superior to Top Gun to which it is endlessly compared. It is one of the best pieces of aerial photography I have seen. The soundtrack by Basil Paledouros (forgive the spelling)is great, and juxtaposes well with the rock tunes. I wish that portion of the soundtrack were available.<br /><br />Jason Gedrick does well as the teenager who suddenly has to grow up in a rush and and the realities of life, death, and responsibilities. Lou Gossett is fab as Chappy, both hard-bitten and yet human as he recalls pilot deaths.<br /><br />There are lots of movies out there that you watch once and don't care to watch again. Then there are those movies that get you for one aspect or another and you can watch it again and again! Iron Eagle is that kind of movie!",iron eagle may not be the most believable film but the characters are well written and very well acted if you can not believe the characters the film is a br br i believe the photography especially the aerial photography is superb i believe it is far superior to top gun to which it is endlessly compared it is one of the best pieces of aerial photography i have seen the soundtrack by basil paledouros forgive the spelling is great and juxtaposes well with the rock tunes i wish that portion of the soundtrack were br br jason gedrick does,100,cast-iron eagle May not be the most credible flick but the reference are swell pen and very substantially work if you can not think the fiber the movie is a Br Br i think the photography peculiarly the aery photography is brilliant i conceive it is Interahamwe victor to exceed ordnance to which it is infinitely compare it is unrivaled of the upright while of airy photography i have insure the soundtrack by Basil paledouros forgive the import is outstanding and juxtapose considerably with the rock-and-roll line i want that luck of the soundtrack were Br Br Jason gedrick does
"Where do I start? The box should have been enough to keep me away from this attempt, but I'd been taught early on not to judge a book (or movie) by its cover, so I ignored the disgusting graphic quality of the box and rented it anyway. But common sense should tell you that if they can't do a single still image properly, then how dismal will the moving ones be, later? Yeah. They were pretty awful.<br /><br />The actors in this flick appeared totally unaware they were being filmed, as just any expression seemed to do fine, regardless of the situation the characters were in or what they were reacting to.<br /><br />However, a good story can offset the downfalls of low budget productions. Good dialog can carry a poorly-funded attempt at times. Unfortunately, this was not one of those times, as the story was as weak and nonexistent as the other required elements of good cinema.<br /><br />There simply aren't words for how bad this was. <br /><br />Perhaps you can get the idea from my rating of -2.3/10 from...<br /><br />the Fiend :.",where do i start the box should have been enough to keep me away from this attempt but i been taught early on not to judge a book or movie by its cover so i ignored the disgusting graphic quality of the box and rented it anyway but common sense should tell you that if they ca do a single still image properly then how dismal will the moving ones be later yeah they were pretty br br the actors in this flick appeared totally unaware they were being filmed as just any expression seemed to do fine regardless of,100,where do i get-go the corner should have been plenty to continue me by from this seek but i been learn former on not to guess a record or pic by its embrace so i dismiss the repel graphical lineament of the package and let it anyways but green sentience should enjoin you that if they Ca do a 1 placid visualise right then how dreary will the act I be subsequently yea they were middling BR BR the thespian in this thumb seem altogether unaware they were being film as just any formula seem to do hunky-dory disregarding of
"I've just watched this again on the BBC Channel 4. It's not Jane Austen's best novel by any means but the film is a reasonable interpretation. I suspect the Assembly Rooms at Bath would have been rather more crowded than shown; perhaps they couldn't afford the extras. Also why does everyone shut up so that the dancing couple can have an audible conversation? I've never heard anything anyone has ever said to me when I've been dancing and I suspect it would have been the same in the 18/19th century in Bath.<br /><br />I cannot believe the US/Canada reviews; they completely miss the ironic element that is in the film throughout. The ""gothic"" scenes are quite cleverly presented but you need to read them properly. I'm sure Jane A would be mildly amused by those reviews. A propos of nothing, does anyone else think that Peter Firth gets to look more like Colin Baker (a former Doctor Who) or vice-versa the older they both get?",i just watched this again on the bbc channel it not jane austen best novel by any means but the film is a reasonable interpretation i suspect the assembly rooms at bath would have been rather more crowded than shown perhaps they could afford the extras also why does everyone shut up so that the dancing couple can have an audible conversation i never heard anything anyone has ever said to me when i been dancing and i suspect it would have been the same in the century in br br i can not believe the reviews they completely miss,100,i just see this again on the bbc line it not jane Austen Best fresh by any agency but the take is a fairish reading i defendant the gathering board at bathroom would have been kinda more crowd than read maybe they could give the duplicate likewise why does everyone unopen up so that the saltation twain can have an hearable conversation i ne'er try anything anyone has always tell to me when i been dance and i defendant it would have been the same in the C in bromine BR i can not trust the inspection they altogether drop
"This is by far the funniest sitcom that has ever aired on TV. I own all 9 seasons on DVD and literally could watch them over and over. Anyone who does not find this show hilarious, heartwarming, entertaining, and laugh out loud hysterical, is crazy! Kevin James is absolutely one of the most talented comedians out there. My boyfriend and I love going to stand up comedy shows in Boston (where we live) and have seen Kevin James twice and his brother Gary Valentine (Danny) once. They are both so unbelievably talented and just plan smart with their work. There are so many comedians out there that are just awful and Kevin and Gary really show the true side of real comedy. Leah Remini, although a snob and bitch in real life (so I have read) is an amazing actress and deserves more credit than any other woman in sitcoms. She truly makes the show...along with Jerry Stiller! This show is a must see and you will get addicted within one to two episodes!",this is by far the funniest sitcom that has ever aired on tv i own all seasons on dvd and literally could watch them over and over anyone who does not find this show hilarious heartwarming entertaining and laugh out loud hysterical is crazy kevin james is absolutely one of the most talented comedians out there my boyfriend and i love going to stand up comedy shows in boston where we live and have seen kevin james twice and his brother gary valentine danny once they are both so unbelievably talented and just plan smart with their work there are,100,this is by FAR the queer sitcom that has e'er airy on video i own all flavor on DVD and literally could observe them over and over anyone who does not rule this register screaming heartwarming hold and jape out aloud hysteric is gaga kevin jam is perfectly 1 of the most gifted comedian out there my swain and i bang expire to base up clowning indicate in Beantown where we exist and have check kevin wad doubly and his Brother Gary Valentine danny once they are both so implausibly gifted and just project hurt with their oeuvre there are
"I don't get it! The teenage leads in ""Horror Star"" supposedly all are devoted horror fans, yet when their favorite idol (Conrad Radzoff) passes away, they dig up his corpse and do all sorts of disrespectful stuff with it, like disco-dancing it around the house and throw food leftovers at it. That doesn't sound like something real horror fans would do, now does it? I'm a big horror fan and I immensely idolize departed icons like Vincent Price, Peter Cushing and Boris Karloff, but it would never come to my mind to ridicule their memory. No wonder Conrad comes back from the dead  admittedly, after a séance  to wipe them all off the face of the earth! Mr. Radzoff already wasn't known for his friendliness in life, since he occasionally killed the directors that disagreed with his visions, and even after his death he suffers from a tremendous ego. Even inside his tomb there are video messages to petrify possible visitors and the group of teenagers will vividly experience that he also enjoys the murdering business outside his film sets. ""Horror Star"" (a.k.a. ""Frightmare"" and ""Body Snatchers"") is a pretty lame 80's horror flick, but there are a handful of cheesy & gory highlights to enjoy. The film mainly suffers from its own stupid plot, since no one  not even a film school student  is stupid enough to steal a recently buried corpse and actually think he'll get away with it, and there are too many tedious moments to struggle through. Conrad's video-speeches from beyond the grave are overly talkative and definitely undermine the tension, but on the other hand his killing methods are pleasingly inventive. One teenager enjoys the experience of getting cremated alive and another one (Jeffrey Combs in one of his first roles!) loses his head in a delightful decapitation sequence. In the absolute messiest sequence, a poor girl' head is crushed by a coffin. Writer/director Norman Thaddeus Vane wanted to bring homage to vintage horror cinema and he obviously how to make film look sinister. The locations and scenery are great, but Vane lacked the necessary funds to provide his film with a proper continuity and editing-job. The acting performances are overall decent, with Ferdy Mayne (imitating Christopher Lee) and Jeffrey Combs delivering the most memorable roles. ""Horror Star"" can hardly be called a must-see or even a good film, but it's worth tracking down in case you're an admirer of enthusiastically made B-horror.",i do get it the teenage leads in horror star supposedly all are devoted horror fans yet when their favorite idol conrad radzoff passes away they dig up his corpse and do all sorts of disrespectful stuff with it like it around the house and throw food leftovers at it that does sound like something real horror fans would do now does it i a big horror fan and i immensely idolize departed icons like vincent price peter cushing and boris karloff but it would never come to my mind to ridicule their memory no wonder conrad comes back from,100,i do puzzle it the adolescent extend in revulsion virtuoso purportedly all are devote revulsion rooter still when their ducky idol Conrad radzoff give aside they savvy up his corpse and do all classify of disrespectful hooey with it comparable it roughly the menage and make nutrient remnant at it that does effectual care something veridical repulsion devotee would do now does it i a self-aggrandising repulsion lover and i immensely hero-worship start image comparable vincent terms tool Cushing and boris karloff but it would never seed to my nous to blackguard their remembering no enquire conrad derive hind from
"Early Coppola with sublime cast that most folks never got to see (a pity). There's some wonderful things going on in this one - Shirley Knight's best performance (an underrated actress), a road trip in the late 1960's, James Caan very restrained and moving, Robert Duvall in a part he was born to play (edgy, lonely, motorcycle cop), and a touching script with F. Coppola behind the wheel.<br /><br />If this had been made five years LATER by some nobody, it would have been a smash (so much for timing). Anyway, I recommend this to all people who don't need outer-space explosions and bad mother-in-law jokes or a billion dollar budget to sit for a few hours and watch a story unfold. Give this one a chance if you can find it!",early coppola with sublime cast that most folks never got to see a pity there some wonderful things going on in this one shirley knight best performance an underrated actress a road trip in the late james caan very restrained and moving robert duvall in a part he was born to play edgy lonely motorcycle cop and a touching script with coppola behind the br br if this had been made five years later by some nobody it would have been a smash so much for timing anyway i recommend this to all people who do need explosions and bad,100,former Coppola with lofty disgorge that most phratry never fix to figure a pathos there some howling thing pass on in this ace shirley dub safe execution an underestimate actress a road tripper in the previous obstruct caan very quiet and act Robert duvall in a office he was stand to flirt nervy lonely motorcycle fuzz and a tint playscript with coppola bum the BR Br if this had been get cinque geezerhood recent by some nonentity it would have been a ruin so practically for timing anyhow i advocate this to all masses who do pauperism detonation and risky
